city,fclass,avg_flow,avg_speed,records
vilnius,primary,250.87693088127898,,179387
paris,service,667.7999045088434,,24086
melbourne,motorway,131.78333333333333,,4320
utrecht,other,97.65502807910984,,143345
stuttgart,secondary,164.15287068801211,,167904
strasbourg,tertiary_link,256.44667878917534,,9349
taipeh,primary,571.0184414484357,,1643526
marseille,primary,562.3500887345679,,777600
taipeh,living_street,525.2034326871504,,13051
zurich,trunk_link,4.025007442691277,,3359
taipeh,secondary,518.7962889396787,,2114544
toulouse,other,472.55913318452383,,53760
paris,trunk_link,1116.4492352205184,,31970
manchester,other,120.79213231115853,24.89546271381017,100309
marseille,secondary,356.2465728228228,,532800
stuttgart,trunk_link,319.5015830346477,,26784
torino,other,242.1963451572171,34.469666664084464,516356
zurich,secondary,205.18758889881246,,604620
speyer,trunk_link,101.17633928571429,,26880
manchester,secondary_link,409.22743102062685,35.12591510879144,18665
manchester,tertiary,209.9026428048565,35.768453444684816,79234
taipeh,tertiary,479.0132040698405,,1347842
munich,tertiary,136.08299352265405,,6613
torino,residential,402.6629902275117,42.21113409020953,155948
utrecht,tertiary,96.29655347003725,,165906
toulouse,residential,365.65049860853435,,258720
strasbourg,tertiary,242.71007203065938,,766618
melbourne,primary,214.33681294901757,,462120
utrecht,residential,43.855484876942434,,56437
toulouse,trunk,495.4219406512605,,228480
vilnius,secondary_link,255.40983606557376,,427
toronto,residential,130.80004552234934,,43940
zurich,primary_link,283.21047930931826,,33590
marseille,trunk,1200.5531828703704,,86400
taipeh,other,535.22653135058,,66216
zurich,motorway_link,210.01290066488042,,10077
rotterdam,residential,221.63423555230432,0.0,2734
melbourne,secondary,214.5169511159163,,25898
melbourne,trunk_link,172.3188888888889,,7200
taipeh,motorway,367.69895407003185,,6597
torino,primary_link,490.43812468938097,34.81710751559998,18109
utrecht,primary,152.9399563114953,,428488
wolfsburg,motorway_link,104.14183843046243,,26878
torino,trunk_link,819.4111776447106,55.42531603459747,6012
santander,trunk_link,317.1038873994638,,2238
marseille,trunk_link,502.08594907407405,,43200
wolfsburg,primary,163.73220199938086,,174720
vilnius,tertiary_link,69.15492957746477,,284
toulouse,trunk_link,429.1838913690476,,26880
taipeh,trunk_link,636.5826944140197,,21912
strasbourg,trunk_link,397.9602096480907,,9349
manchester,trunk,517.9229809529237,32.957181114055935,666874
wolfsburg,tertiary,110.00190384400574,,282236
toulouse,secondary_link,315.81904761904764,,6720
utrecht,service,211.93109196999166,,10797
utrecht,secondary,110.91038452436389,,261986
paris,primary_link,820.0149306042339,,28532
stuttgart,other,89.78030303030303,,6336
vilnius,primary_link,248.30315789473684,,2375
torino,secondary_link,834.3352103345478,41.18847797283868,18114
torino,motorway_link,680.3037673271537,44.5515130538311,11759
paris,motorway_link,908.157958889149,,25638
vilnius,motorway_link,217.93016671909402,,3179
toulouse,tertiary,355.7171783625731,,957600
taipeh,service,568.1855180309971,,60199
vilnius,trunk_link,297.8944060339409,,3182
toulouse,living_street,171.3578869047619,,6720
stuttgart,primary_link,201.7561501141551,,21024
santander,residential,192.07943081474653,,163375
rotterdam,primary,251.89013630324112,39.11478515077696,66983
speyer,residential,64.76259157509158,,174720
torino,motorway,793.6302186878728,78.53442147117299,6036
marseille,other,249.3062824074074,,216000
zurich,residential,94.25160441813227,,265361
zurich,secondary_link,167.6845787436737,,26872
toulouse,secondary,416.3548976885184,,1266720
munich,residential,101.95832041925256,,11158
stuttgart,trunk,463.53501283212535,,26496
utrecht,motorway_link,144.91360294117646,,19584
paris,primary,1052.2363439410876,,1437816
torino,tertiary,375.936768241587,41.52924788692327,766134
speyer,tertiary,122.90646258503402,,235200
strasbourg,primary_link,95.87816878810568,,18698
munich,primary_link,117.00771587989404,,287
munich,secondary_link,99.95382764748331,,287
toronto,tertiary,197.37804525570982,,100361
toronto,service,303.14485822425695,,17562
madrid,motorway,1603.8982821637428,,4560
taipeh,trunk,532.7207235848607,,314545
strasbourg,trunk,247.78333817214977,,130886
rotterdam,tertiary,225.88648827865973,35.53675683504119,25637
santander,living_street,271.7716711349419,,2238
wolfsburg,secondary,261.9872344573971,,382958
santander,primary_link,412.15105551100197,,8953
stuttgart,primary,332.8829798208526,,317952
speyer,secondary_link,151.96329365079364,,40320
toronto,secondary,285.3298065022827,,862909
munich,primary,225.89287534085938,,17510
strasbourg,service,229.4582308268264,,18698
taipeh,motorway_link,507.4763476347635,,45450
toulouse,service,357.29578373015875,,20160
utrecht,secondary_link,179.84375,,2304
taipeh,secondary_link,1112.7599028684172,,13178
vilnius,other,185.4910223525101,,5458
melbourne,primary_link,173.23833333333334,,7200
vilnius,secondary,232.0484735672146,,130009
santander,primary,454.6414445586175,,398384
zurich,tertiary,200.8780538005506,,1632474
rotterdam,other,92.3174131179638,55.881822401301584,2724
stuttgart,tertiary,201.26711096176817,,26784
santander,trunk,355.4878835500532,,94001
taipeh,residential,464.5067064907768,,361590
strasbourg,motorway_link,369.4528062588817,,65443
vilnius,trunk,330.0123055286983,,22754
strasbourg,other,210.26229780962913,,84141
paris,tertiary,910.7178987424643,,696521
paris,other,868.5617506497861,,23854
strasbourg,residential,193.75157359487235,,243074
utrecht,trunk_link,135.75130208333334,,9216
toulouse,primary,503.041595208628,,1357440
paris,residential,865.2089333441984,,122720
wolfsburg,primary_link,300.1178736771856,,20160
santander,motorway,864.8583556747095,,4476
utrecht,motorway,174.15625,,16128
santander,motorway_link,930.120978552279,,4476
melbourne,trunk,328.72095722601216,,231753
rotterdam,secondary,264.0745859572846,34.26748582604096,223105
torino,trunk,432.3116392819831,44.08648744776328,168464
toulouse,motorway,570.9537202380952,,6720
speyer,primary,191.32242063492063,,60480
toulouse,tertiary_link,563.9482142857142,,3360
wolfsburg,other,13.154761904761905,,6720
toulouse,primary_link,399.54806547619046,,20160
marseille,residential,182.27733796296297,,172800
vilnius,tertiary,222.37561103351956,,91648
